Name,Likes,Activity,Local,Date,Hour,Weather
Eve,home_activities,Playing a musical instrument,Davidside,2023-10-02,14:39,Snowy
Bob,water_activities,Whale Watching,Garciatown,2023-10-10,20:50,Windy
Alice,outdoor_activities,Horse Riding ,Tamaraton,2023-09-17,16:09,Rainy
Doe,night_activities,Stargazing,East Marieborough,2023-09-21,05:07,Rainy
Bob,water_activities,Canoeing,Morrisonfurt,2023-10-12,14:09,Sunny
Mallory,extreme_activities,Scuba Diving ,Davistown,2023-09-20,16:39,Snowy
Alice,outdoor_activities,Fashion Shopping ,Port Caroltown,2023-09-29,14:21,Windy
Mallory,extreme_activities,Archery,Moorefort,2023-10-13,11:22,Snowy
Doe,night_activities,Movie Watching,West Lawrenceberg,2023-09-30,15:52,Windy
Alice,outdoor_activities,Movie Watching,West Jasonhaven,2023-10-05,05:21,Cloudy
John,physical_activities,Massage ,North Christopher,2023-09-27,14:36,Sunny
Eve,home_activities,Writing,East Nicolestad,2023-09-22,15:13,Rainy
Charlie,sports_activities,Walking the dog,Port Alexaport,2023-10-12,23:48,Snowy
Jane,artistic_activities,Sewing,Lake Tiffany,2023-10-03,09:11,Sunny
Doe,night_activities,Walking the dog,Port Stevenchester,2023-10-04,12:08,Sunny
John,physical_activities,Movie Watching,Davidland,2023-10-09,21:14,Rainy
Jane,artistic_activities,Coffee Tasting ,New Nicholas,2023-09-24,17:08,Rainy
Alice,outdoor_activities,Potluck Dinner,Lake Jenniferhaven,2023-10-05,04:27,Snowy
Eve,home_activities,Hiking ,Nicolechester,2023-10-06,03:18,Snowy
Jane,artistic_activities,Book Club Participation,Lake Stevenland,2023-10-09,13:38,Rainy
John,physical_activities,Walking the dog,East John,2023-10-05,21:51,Cloudy
Alice,outdoor_activities,Kite Flying,New David,2023-09-18,16:56,Windy
Bob,water_activities,Hot Spring Bath,Joshuastad,2023-09-20,18:30,Rainy
Jane,artistic_activities,Wine Tasting,South Samantha,2023-10-04,18:20,Sunny
Charlie,sports_activities,Baseball,Millerberg,2023-10-03,19:34,Windy
Alice,outdoor_activities,Walking the dog,Lake Jackland,2023-10-09,22:51,Windy
Doe,night_activities,Potluck Dinner,Diazland,2023-10-04,18:54,Rainy
Mallory,extreme_activities,Rock Climbing ,Thomaschester,2023-09-27,12:35,Sunny
Mallory,extreme_activities,Ice Skating,Richardsonton,2023-09-21,14:07,Snowy
Charlie,sports_activities,Stargazing,Lake Tracy,2023-09-22,23:08,Rainy
Eve,home_activities,Facial Treatment,South Tiffany,2023-09-19,10:59,Sunny
Bob,water_activities,Movie Watching,Gabrielleshire,2023-10-02,04:56,Cloudy
Doe,night_activities,Movie Watching,Castroburgh,2023-10-06,00:27,Cloudy
Jane,artistic_activities,Opera Attendance ,Parkerfurt,2023-09-28,16:29,Rainy
John,physical_activities,Rugby,South Chelseafort,2023-10-05,16:05,Cloudy
Mallory,extreme_activities,Kayaking,South Amyshire,2023-09-24,17:31,Snowy
Jane,artistic_activities,Magic Show Attendance,West Jeremy,2023-09-23,10:44,Rainy
Jane,artistic_activities,Photography,East Craigton,2023-10-06,16:53,Rainy
Eve,home_activities,Potluck Dinner,Tonyport,2023-09-26,10:21,Windy
Doe,night_activities,Potluck Dinner,Port Thomas,2023-09-20,00:46,Cloudy
Doe,night_activities,Walking the dog,East Jonathanborough,2023-10-04,03:28,Cloudy
John,physical_activities,Sauna  ,Port Justin,2023-09-27,07:36,Cloudy
John,physical_activities,Horse Riding ,Charlesborough,2023-10-02,12:36,Windy
Charlie,sports_activities,Golfing,Marcstad,2023-10-01,17:29,Windy
Doe,night_activities,Potluck Dinner,Simston,2023-09-24,18:35,Windy
Charlie,sports_activities,Potluck Dinner,Kellychester,2023-10-01,22:19,Sunny
Mallory,extreme_activities,Rafting,North Ashleyborough,2023-09-17,19:02,Snowy
Alice,outdoor_activities,Sailing ,Port Kayla,2023-09-19,13:57,Snowy
Charlie,sports_activities,Rafting,North Samanthafort,2023-10-10,15:39,Windy
Eve,home_activities,Farming Activities,Washingtonton,2023-09-16,12:04,Sunny
Doe,night_activities,Walking the dog,South Eric,2023-09-19,08:58,Sunny
Bob,water_activities,Stargazing,East Danny,2023-09-27,22:18,Rainy
Alice,outdoor_activities,Hiking ,Port Carrieside,2023-09-22,00:57,Windy
Jane,artistic_activities,Knitting,East Jenniferburgh,2023-10-12,07:36,Sunny
Charlie,sports_activities,Gym Workout ,Kevinstad,2023-09-27,16:20,Sunny
Doe,night_activities,Stargazing,South Nicholasmouth,2023-10-09,22:58,Sunny
Charlie,sports_activities,Baseball,Cookeberg,2023-09-22,19:56,Cloudy
Charlie,sports_activities,Movie Watching,Thomaston,2023-09-24,21:23,Sunny
Doe,night_activities,Walking the dog,North Stephenland,2023-09-29,14:03,Cloudy
Mallory,extreme_activities,Snowboarding ,Walkerville,2023-10-14,17:21,Cloudy
Doe,night_activities,Hiking ,Johnsonborough,2023-10-05,18:27,Cloudy
Jane,artistic_activities,Art Class,North Richard,2023-09-17,07:23,Sunny
Mallory,extreme_activities,Archery,Webbburgh,2023-09-20,12:44,Snowy
Eve,home_activities,Drawing ,Mullinsmouth,2023-10-14,18:02,Rainy
Bob,water_activities,Scuba Diving ,Lake David,2023-09-30,19:06,Sunny
Mallory,extreme_activities,Rafting,Stoneland,2023-09-23,11:32,Cloudy
Mallory,extreme_activities,Stargazing,South Matthew,2023-09-16,03:20,Windy
Charlie,sports_activities,Fishing ,Joshuaton,2023-10-14,17:30,Sunny
John,physical_activities,Hiking ,Millerport,2023-09-21,03:22,Rainy
Doe,night_activities,Walking the dog,Grayland,2023-10-12,22:47,Sunny
John,physical_activities,Massage ,Charlesland,2023-09-29,14:20,Rainy
Charlie,sports_activities,Dancing ,New Matthewport,2023-10-05,10:53,Snowy
Mallory,extreme_activities,Movie Watching,Port Donald,2023-10-11,01:10,Sunny
John,physical_activities,Potluck Dinner,Lake Williamview,2023-09-29,04:11,Sunny
Charlie,sports_activities,Walking the dog,West Debraborough,2023-09-17,02:16,Sunny
Mallory,extreme_activities,Kayaking,Brooksmouth,2023-09-18,14:56,Sunny
Jane,artistic_activities,Stargazing,Josephhaven,2023-09-22,01:43,Windy
Mallory,extreme_activities,Rafting,Lake Stevenport,2023-10-10,11:29,Cloudy
Jane,artistic_activities,Playing a musical instrument,West Jerry,2023-10-06,10:14,Sunny
Jane,artistic_activities,Stargazing,Port Marcus,2023-10-04,21:39,Snowy
Alice,outdoor_activities,Shopping ,New Brittanyfurt,2023-09-18,08:50,Windy
Mallory,extreme_activities,Kayaking,Kimberlyville,2023-09-17,14:52,Windy
Jane,artistic_activities,Playing a musical instrument,Mooreside,2023-09-24,14:06,Cloudy
Doe,night_activities,Walking the dog,Lake John,2023-10-01,07:52,Windy
John,physical_activities,Stargazing,New Marissamouth,2023-10-09,02:52,Windy
John,physical_activities,Movie Watching,Portermouth,2023-09-18,05:05,Rainy
John,physical_activities,Walking the dog,Andrewton,2023-09-16,22:15,Cloudy
John,physical_activities,Massage ,Caitlintown,2023-09-28,13:07,Windy
Charlie,sports_activities,Potluck Dinner,Amandaberg,2023-10-15,22:12,Sunny
John,physical_activities,Sauna  ,New Jerry,2023-10-11,14:24,Snowy
Eve,home_activities,Stargazing,Wolfmouth,2023-10-10,22:07,Sunny
Doe,night_activities,Walking the dog,Port Randy,2023-10-01,06:05,Sunny
Alice,outdoor_activities,Stargazing,Gutierrezville,2023-09-27,01:22,Cloudy
Charlie,sports_activities,Gym Workout ,West Eric,2023-09-20,11:10,Cloudy
Charlie,sports_activities,Fencing,Anthonyfurt,2023-10-01,06:15,Sunny
Charlie,sports_activities,Rugby,West Derektown,2023-10-14,20:26,Sunny
Alice,outdoor_activities,Potluck Dinner,West Peter,2023-10-13,23:44,Cloudy
Mallory,extreme_activities,Ice Skating,Christinatown,2023-09-17,12:47,Cloudy
Jane,artistic_activities,Playing a musical instrument,New Kimberlybury,2023-09-18,09:43,Windy
Charlie,sports_activities,Movie Watching,Andrewfurt,2023-10-07,01:32,Cloudy
Doe,night_activities,Stargazing,East Laurentown,2023-09-23,19:30,Rainy
Bob,water_activities,Hot Spring Bath,Port Sean,2023-09-26,06:25,Windy
Doe,night_activities,Movie Watching,Port Travis,2023-10-08,00:42,Cloudy
Eve,home_activities,Movie Watching,Tracybury,2023-10-01,03:36,Sunny
Charlie,sports_activities,Fencing,Josephburgh,2023-10-02,08:14,Rainy
Jane,artistic_activities,Sewing,Lammouth,2023-09-22,17:28,Rainy
John,physical_activities,Horseback Riding,Juanton,2023-10-13,07:07,Windy
Charlie,sports_activities,Walking the dog,West Melissa,2023-10-14,22:32,Sunny
Doe,night_activities,Walking the dog,Robertshaven,2023-09-27,11:22,Sunny
Mallory,extreme_activities,Movie Watching,Davidbury,2023-09-24,01:52,Windy
John,physical_activities,Facial Treatment,Callahanport,2023-09-28,17:21,Sunny
Charlie,sports_activities,Walking the dog,Ayalafurt,2023-09-23,23:22,Windy
Doe,night_activities,Hiking ,East Lauren,2023-09-28,12:34,Sunny
Charlie,sports_activities,Potluck Dinner,North Ryan,2023-10-11,01:51,Snowy
Alice,outdoor_activities,Movie Watching,West Danielville,2023-09-23,01:45,Sunny
Mallory,extreme_activities,Walking the dog,Michaelstad,2023-10-11,22:55,Sunny
Bob,water_activities,Whale Watching,Lopezland,2023-10-13,12:59,Snowy
Doe,night_activities,Walking the dog,Brendafurt,2023-09-16,03:29,Cloudy
Alice,outdoor_activities,Walking the dog,Brownbury,2023-10-01,04:10,Windy
Charlie,sports_activities,Potluck Dinner,Danieltown,2023-10-13,01:49,Snowy
Jane,artistic_activities,Stargazing,Port Bradley,2023-09-21,03:16,Rainy
Doe,night_activities,Hiking ,Benjaminton,2023-09-30,05:35,Windy
Bob,water_activities,Movie Watching,South Scotthaven,2023-10-11,22:49,Snowy
Mallory,extreme_activities,Kite Flying,Kochfort,2023-09-24,19:07,Rainy
Mallory,extreme_activities,Archery,Port Brianna,2023-09-29,19:52,Rainy
Charlie,sports_activities,Baseball,New Sandra,2023-10-14,10:37,Cloudy
Eve,home_activities,Board Games ,Annettestad,2023-10-06,18:46,Rainy
Mallory,extreme_activities,Hiking ,Lisaville,2023-09-22,21:30,Snowy
Eve,home_activities,Gardening ,Smithtown,2023-09-24,19:53,Windy
Mallory,extreme_activities,Walking the dog,South Michael,2023-10-01,23:18,Sunny
Bob,water_activities,Stargazing,Carterberg,2023-10-05,00:38,Cloudy
Charlie,sports_activities,Walking the dog,Lake Chelseamouth,2023-09-18,01:07,Rainy
Eve,home_activities,Stargazing,Markstad,2023-10-06,00:35,Rainy
Bob,water_activities,Potluck Dinner,Danielleport,2023-10-05,23:43,Snowy
Jane,artistic_activities,Movie Watching,Levihaven,2023-09-16,15:31,Rainy
Doe,night_activities,Walking the dog,Stephenstad,2023-10-07,20:05,Snowy
Doe,night_activities,Movie Watching,Velazquezton,2023-09-30,19:31,Rainy
Alice,outdoor_activities,Stargazing,Carlamouth,2023-09-20,01:40,Sunny
Jane,artistic_activities,Ballet Attendance,New Michael,2023-09-25,06:41,Cloudy
Mallory,extreme_activities,Snowboarding ,Port David,2023-09-17,10:41,Windy
Eve,home_activities,Board Games ,Michaelland,2023-09-27,17:18,Sunny
Mallory,extreme_activities,Skiing ,Maynardhaven,2023-09-30,10:39,Sunny
John,physical_activities,Hiking ,Port Robertmouth,2023-09-27,00:34,Cloudy
John,physical_activities,Rock Climbing ,Colemanfurt,2023-09-23,09:40,Windy
Jane,artistic_activities,Singing ,Peterborough,2023-10-13,20:10,Cloudy
Mallory,extreme_activities,Skiing ,Paulaville,2023-10-08,17:40,Snowy
Mallory,extreme_activities,Kite Flying,Port Monique,2023-09-21,07:43,Rainy
Charlie,sports_activities,Basketball,New Lisafurt,2023-10-12,10:12,Cloudy
John,physical_activities,Walking the dog,North Jennifershire,2023-10-09,03:00,Windy
Bob,water_activities,Stargazing,Brownland,2023-09-28,23:57,Snowy
Charlie,sports_activities,Soccer,Riosmouth,2023-09-19,15:05,Cloudy
Charlie,sports_activities,Golfing,Garciatown,2023-09-20,19:13,Rainy
Doe,night_activities,Hiking ,Lake Roger,2023-09-26,22:22,Sunny
Alice,outdoor_activities,Volunteering Activities ,Paulview,2023-10-07,17:48,Sunny
Charlie,sports_activities,Hiking ,Port Elizabethmouth,2023-09-30,05:26,Snowy
Eve,home_activities,Yoga ,West Davidhaven,2023-10-02,10:23,Cloudy
Jane,artistic_activities,Cooking,North Katie,2023-09-30,08:54,Snowy
Charlie,sports_activities,Dancing ,Jonfort,2023-10-02,14:57,Rainy
Charlie,sports_activities,Bowling,Port Margarettown,2023-10-10,06:21,Snowy
Jane,artistic_activities,Circus Attendance,East Rebeccaview,2023-09-17,17:59,Rainy
Bob,water_activities,Snorkeling,South Geraldport,2023-09-24,13:25,Rainy
Jane,artistic_activities,Movie Watching,Harrisport,2023-10-07,09:07,Rainy
Alice,outdoor_activities,Hiking ,New Coryton,2023-10-08,03:33,Rainy
Jane,artistic_activities,Art Class,East Brandon,2023-10-15,11:53,Rainy
Charlie,sports_activities,Basketball,Elizabethmouth,2023-09-19,08:05,Windy
Alice,outdoor_activities,Picnicking ,Lake Vanessa,2023-10-15,08:10,Sunny
Eve,home_activities,Massage ,South Michelle,2023-09-19,11:27,Windy
Bob,water_activities,Stargazing,Lake Johnport,2023-10-12,22:42,Sunny
Charlie,sports_activities,Golfing,Farleyfurt,2023-10-11,11:19,Windy
Mallory,extreme_activities,Movie Watching,Williamsville,2023-09-29,22:04,Sunny
Eve,home_activities,Drawing ,Ramosport,2023-10-10,18:31,Cloudy
John,physical_activities,Hiking ,North Nathan,2023-09-21,02:16,Windy
Mallory,extreme_activities,Scuba Diving ,South Mark,2023-09-22,16:25,Sunny
Jane,artistic_activities,Stargazing,Lake Robert,2023-09-21,04:21,Sunny
Mallory,extreme_activities,Ice Skating,South Ericaview,2023-10-03,14:04,Windy
Doe,night_activities,Stargazing,Kerrfort,2023-10-15,09:59,Windy
Jane,artistic_activities,Hiking ,East Julie,2023-09-22,02:45,Sunny
Jane,artistic_activities,Walking the dog,West David,2023-09-17,03:57,Snowy
Doe,night_activities,Hiking ,Danielton,2023-10-01,08:54,Rainy
Doe,night_activities,Hiking ,Port Jeffrey,2023-10-02,19:02,Windy
John,physical_activities,Potluck Dinner,North Jenniferfurt,2023-09-22,21:19,Snowy
Mallory,extreme_activities,Scuba Diving ,South Robert,2023-09-27,13:28,Windy
Jane,artistic_activities,Cooking Class,East Dorothy,2023-10-12,09:20,Rainy
Mallory,extreme_activities,Snowboarding ,Watsonburgh,2023-09-19,17:24,Cloudy
Mallory,extreme_activities,Surfing,Virginialand,2023-09-27,11:23,Sunny
Doe,night_activities,Walking the dog,Sloanbury,2023-09-30,18:27,Rainy
Alice,outdoor_activities,Hiking ,Lake Jamesside,2023-10-12,23:57,Sunny
Mallory,extreme_activities,Scuba Diving ,Alexside,2023-09-23,10:46,Rainy
Alice,outdoor_activities,Spa Day  ,Matthewfort,2023-09-18,17:10,Snowy
Mallory,extreme_activities,Hiking ,Port Dwayneside,2023-10-11,22:50,Rainy
Alice,outdoor_activities,Movie Watching,Port Steveview,2023-09-27,00:44,Snowy
Eve,home_activities,Drawing ,Port Kathrynberg,2023-09-17,06:27,Cloudy
Charlie,sports_activities,Gym Workout ,New Elizabeth,2023-09-22,20:10,Windy
John,physical_activities,Snowboarding,Christinaport,2023-09-20,16:47,Rainy
John,physical_activities,Horseback Riding,Richardton,2023-09-21,13:34,Rainy
John,physical_activities,Dancing,Lake Timothyhaven,2023-09-26,11:29,Cloudy
Jane,artistic_activities,Tea Ceremony,Smithfurt,2023-10-01,12:31,Rainy
Alice,outdoor_activities,Hiking ,New Diane,2023-10-10,23:35,Windy
Eve,home_activities,Stargazing,Lake Carolyn,2023-09-21,01:36,Windy
Mallory,extreme_activities,Potluck Dinner,Benitezchester,2023-10-11,04:03,Windy
Bob,water_activities,Hiking ,Douglaston,2023-10-10,01:00,Sunny
Bob,water_activities,Kayaking,Lake Deanside,2023-09-18,15:52,Windy
Bob,water_activities,Rafting,Lake Dawn,2023-10-13,20:58,Rainy
Mallory,extreme_activities,Movie Watching,Daniellemouth,2023-09-18,22:52,Snowy
Eve,home_activities,Tea Ceremony,Bankston,2023-09-30,11:05,Sunny
Doe,night_activities,Stargazing,Haystown,2023-10-05,23:26,Windy
John,physical_activities,Potluck Dinner,Powellland,2023-10-08,22:04,Sunny
Alice,outdoor_activities,Cycling,Kellymouth,2023-09-21,08:03,Cloudy
Mallory,extreme_activities,Kite Flying,Port Kennethland,2023-10-14,19:25,Cloudy
Mallory,extreme_activities,Stargazing,Port Christine,2023-09-24,23:08,Sunny
Alice,outdoor_activities,Potluck Dinner,Kimside,2023-09-18,00:22,Snowy
Eve,home_activities,Video Games,Lake Kevin,2023-10-04,07:28,Sunny
Mallory,extreme_activities,Snowboarding ,East Paulmouth,2023-10-06,18:58,Sunny
Charlie,sports_activities,Movie Watching,Josetown,2023-09-16,23:04,Snowy
Charlie,sports_activities,Stargazing,West Laurieberg,2023-09-30,01:11,Snowy
Charlie,sports_activities,Dancing ,Port Daniel,2023-10-02,16:50,Rainy
John,physical_activities,Sightseeing ,Sarahside,2023-09-27,13:08,Sunny
Bob,water_activities,Whale Watching,Port Danielport,2023-10-13,09:26,Sunny
Eve,home_activities,Hiking ,New Sandraton,2023-09-18,22:16,Cloudy
Mallory,extreme_activities,Movie Watching,East Tyler,2023-10-15,23:44,Cloudy
John,physical_activities,Hiking ,South Cindyside,2023-10-02,04:36,Snowy
Mallory,extreme_activities,Movie Watching,Mackchester,2023-10-14,03:30,Sunny
Alice,outdoor_activities,Hiking ,Christyfort,2023-10-03,02:27,Snowy
Bob,water_activities,Movie Watching,New Richard,2023-09-20,00:05,Cloudy
John,physical_activities,Baseball,Baileyport,2023-10-02,18:44,Sunny
Bob,water_activities,Sailing,South Brian,2023-09-27,09:25,Rainy
Doe,night_activities,Potluck Dinner,Cruztown,2023-10-01,05:10,Snowy
Alice,outdoor_activities,Potluck Dinner,Harmonview,2023-09-20,23:39,Snowy
Jane,artistic_activities,Stargazing,Port Terri,2023-09-18,01:16,Sunny
John,physical_activities,Stargazing,Lake Joe,2023-09-29,23:27,Cloudy
Mallory,extreme_activities,Movie Watching,Vincentshire,2023-10-07,01:12,Sunny
Eve,home_activities,Potluck Dinner,Donaldberg,2023-09-17,02:28,Rainy
John,physical_activities,Bowling,Port Teresa,2023-09-16,11:12,Rainy
Eve,home_activities,Potluck Dinner,Lake Carl,2023-09-28,16:31,Windy
Eve,home_activities,Gardening ,West Jamestown,2023-10-06,16:18,Windy
Alice,outdoor_activities,Golfing ,Lake Jameshaven,2023-10-09,06:43,Rainy
Doe,night_activities,Hiking ,Traciport,2023-10-01,02:55,Rainy
Eve,home_activities,Hiking ,Port Jasonside,2023-10-02,05:10,Sunny
John,physical_activities,Meditation Retreat ,Leeside,2023-10-03,11:26,Windy
Doe,night_activities,Hiking ,East Anthony,2023-09-20,03:19,Sunny
John,physical_activities,Stargazing,Lopezton,2023-09-20,22:37,Snowy
Charlie,sports_activities,Movie Watching,Georgemouth,2023-09-23,05:02,Snowy
Alice,outdoor_activities,Cycling,South Tina,2023-09-29,06:01,Sunny
Eve,home_activities,Stargazing,Port Jessicaton,2023-09-21,03:17,Sunny
John,physical_activities,Swimming,New Danielhaven,2023-10-07,08:19,Sunny
Bob,water_activities,Stargazing,North Anthonyland,2023-09-25,22:45,Cloudy
Doe,night_activities,Stargazing,Johnsonport,2023-09-18,10:44,Windy
John,physical_activities,Stargazing,New Emilymouth,2023-10-01,03:43,Cloudy
Doe,night_activities,Stargazing,Port Antonioburgh,2023-09-17,20:41,Rainy
Charlie,sports_activities,Walking the dog,Loriside,2023-10-03,05:17,Snowy
Eve,home_activities,Hot Spring Bath,Port Stephen,2023-09-25,09:59,Snowy
Eve,home_activities,Hiking ,West Conniemouth,2023-10-10,04:17,Cloudy
Alice,outdoor_activities,Chess ,West Jamesburgh,2023-10-06,06:58,Cloudy
Mallory,extreme_activities,Kayaking,West Jacquelinefort,2023-09-19,06:01,Rainy
Jane,artistic_activities,Sewing,Port Matthewfort,2023-10-04,10:03,Sunny
Jane,artistic_activities,Walking the dog,North Parkermouth,2023-10-01,02:48,Windy
Mallory,extreme_activities,Archery,South Jerry,2023-10-15,11:01,Sunny
Mallory,extreme_activities,Scuba Diving ,North Dustin,2023-10-07,06:59,Sunny
Doe,night_activities,Potluck Dinner,Smithburgh,2023-10-08,07:28,Cloudy
John,physical_activities,Beach Volleyball,Nancyfort,2023-09-17,13:07,Cloudy
Bob,water_activities,Potluck Dinner,Weberton,2023-10-15,01:01,Windy
Eve,home_activities,Gardening ,Port Kentstad,2023-09-19,11:50,Windy
Charlie,sports_activities,Walking the dog,Justinbury,2023-10-06,04:41,Snowy
John,physical_activities,Potluck Dinner,East Gavinport,2023-10-13,22:21,Snowy
Mallory,extreme_activities,Stargazing,Campbellhaven,2023-10-02,21:27,Cloudy
Bob,water_activities,Surfing,Oconnorberg,2023-10-13,11:46,Cloudy
Jane,artistic_activities,Hiking ,Kevinhaven,2023-10-09,03:11,Sunny
Alice,outdoor_activities,Potluck Dinner,North James,2023-09-17,02:16,Rainy
Alice,outdoor_activities,Canoeing ,South Laura,2023-10-05,09:10,Cloudy
Jane,artistic_activities,Ballet Attendance,South Jennifertown,2023-09-26,08:57,Sunny
Mallory,extreme_activities,Ice Skating,Owensshire,2023-09-16,12:00,Cloudy
Bob,water_activities,Whale Watching,Port Christopher,2023-10-03,06:51,Rainy
Mallory,extreme_activities,Archery,North Henrymouth,2023-10-10,17:39,Snowy
Jane,artistic_activities,Coffee Tasting ,Weberborough,2023-09-24,10:28,Rainy
Jane,artistic_activities,Antique Shopping,Port Sharonview,2023-10-14,20:43,Windy
John,physical_activities,Skiing,Lake Matthew,2023-10-05,17:35,Rainy
Eve,home_activities,Singing ,Tammyshire,2023-09-28,19:47,Windy
Mallory,extreme_activities,Surfing,Lake Alexanderport,2023-09-20,15:55,Windy
Eve,home_activities,Writing,West Ryanfort,2023-09-28,07:46,Cloudy
Alice,outdoor_activities,Archery ,Brownmouth,2023-09-25,16:27,Rainy
Charlie,sports_activities,Potluck Dinner,Millerfurt,2023-09-20,03:35,Sunny
Alice,outdoor_activities,Charity Work ,North Charlesside,2023-10-12,18:28,Rainy
John,physical_activities,Baseball,East Maria,2023-09-27,13:04,Cloudy
Mallory,extreme_activities,Stargazing,Michaelland,2023-10-12,01:31,Windy
Mallory,extreme_activities,Kite Flying,Smithport,2023-09-30,17:38,Cloudy
Jane,artistic_activities,Wine Tasting,Willisport,2023-09-20,18:51,Cloudy
Bob,water_activities,Potluck Dinner,Port Sara,2023-10-11,02:16,Cloudy
Jane,artistic_activities,Theater Visit,Port Matthewview,2023-10-01,07:09,Snowy
Mallory,extreme_activities,Movie Watching,Port Robinville,2023-09-21,02:15,Sunny
Bob,water_activities,Scuba Diving ,South Wesley,2023-09-17,19:38,Rainy
Alice,outdoor_activities,Cycling,Cainstad,2023-09-30,14:44,Windy
John,physical_activities,Snowboarding,North Benjaminberg,2023-09-19,13:09,Windy
Charlie,sports_activities,Walking the dog,Christopherberg,2023-10-04,00:25,Windy
Alice,outdoor_activities,Fencing ,North Danielborough,2023-09-21,10:14,Cloudy
Jane,artistic_activities,Sewing,Warrenhaven,2023-09-21,13:02,Cloudy
Jane,artistic_activities,Painting,Robertsmouth,2023-09-22,11:12,Snowy
Charlie,sports_activities,Stargazing,Garybury,2023-09-22,21:23,Sunny
Jane,artistic_activities,Walking the dog,Willisberg,2023-10-12,22:45,Cloudy
Mallory,extreme_activities,Rock Climbing ,Walkerstad,2023-10-12,20:28,Snowy
Alice,outdoor_activities,Meditation Retreat ,Christinestad,2023-10-12,09:43,Cloudy
Jane,artistic_activities,Ballet Attendance,Chrisberg,2023-10-01,18:04,Cloudy
Mallory,extreme_activities,Kayaking,Johnnyland,2023-09-16,12:16,Sunny
Bob,water_activities,Snorkeling,Murrayborough,2023-10-08,06:20,Rainy
Jane,artistic_activities,Potluck Dinner,South Lauramouth,2023-09-18,22:39,Sunny
Charlie,sports_activities,Fishing ,Laurenhaven,2023-09-16,10:28,Sunny
John,physical_activities,Stargazing,Nicholasberg,2023-09-22,22:01,Sunny
Mallory,extreme_activities,Kayaking,North Teresaport,2023-09-19,17:17,Cloudy
Eve,home_activities,Reading ,Meganshire,2023-09-21,10:57,Sunny
Doe,night_activities,Movie Watching,Lukefurt,2023-09-24,02:57,Snowy
John,physical_activities,Hiking,Lake Diana,2023-09-25,07:35,Rainy
Mallory,extreme_activities,Walking the dog,North Steven,2023-10-10,01:25,Rainy
Jane,artistic_activities,Movie Watching,Jonathonfurt,2023-10-06,23:52,Cloudy
Eve,home_activities,Farming Activities,Suttonmouth,2023-09-16,08:55,Sunny
Alice,outdoor_activities,Sailing ,New Breannafort,2023-10-02,10:41,Sunny
Eve,home_activities,Hot Spring Bath,North Mathewmouth,2023-10-12,19:04,Snowy
Bob,water_activities,Surfing,East Hannah,2023-09-19,20:51,Rainy
Bob,water_activities,Snorkeling,Port Samantha,2023-10-12,17:55,Windy
Bob,water_activities,Potluck Dinner,Fletcherton,2023-09-22,04:56,Windy
Alice,outdoor_activities,Zoo Visit,Brianmouth,2023-09-17,16:25,Rainy
Jane,artistic_activities,Walking the dog,Davidberg,2023-09-18,04:03,Sunny
Mallory,extreme_activities,Rock Climbing ,Douglasberg,2023-09-16,11:17,Cloudy
Mallory,extreme_activities,Kayaking,Robinsonport,2023-09-30,13:36,Cloudy
Alice,outdoor_activities,Meditation Retreat ,Robertstad,2023-10-08,08:06,Snowy
Mallory,extreme_activities,Skiing ,West Lindsey,2023-09-16,10:39,Snowy
Eve,home_activities,Writing,Wagnerfurt,2023-10-08,13:10,Windy
John,physical_activities,Movie Watching,Wigginshaven,2023-10-04,21:43,Snowy
Doe,night_activities,Hiking ,Whiteview,2023-09-19,09:39,Snowy
Doe,night_activities,Potluck Dinner,Breannachester,2023-10-02,21:57,Snowy
Charlie,sports_activities,Soccer,Danielview,2023-09-22,14:23,Windy
Alice,outdoor_activities,Farming Activities,Davidtown,2023-10-15,19:28,Snowy
John,physical_activities,Tennis,Wilsonshire,2023-10-12,09:55,Snowy
Alice,outdoor_activities,Picnicking ,North David,2023-10-15,17:30,Snowy
Doe,night_activities,Movie Watching,Port Katherineborough,2023-10-10,08:47,Rainy
John,physical_activities,Sauna  ,North Kristinachester,2023-10-05,16:14,Cloudy
Alice,outdoor_activities,Board Games ,East Mauricestad,2023-10-15,12:02,Rainy
Charlie,sports_activities,Basketball,West Jason,2023-09-17,18:02,Snowy
Eve,home_activities,Stargazing,Victoriashire,2023-09-20,23:06,Snowy
Alice,outdoor_activities,Fishing ,Cooperbury,2023-09-30,11:24,Windy
Charlie,sports_activities,Basketball,East David,2023-10-14,17:21,Snowy
Charlie,sports_activities,Skiing ,Stanleyton,2023-09-29,17:38,Snowy
Eve,home_activities,Sewing,Lake Kelly,2023-09-20,12:16,Cloudy
John,physical_activities,Massage ,Margarettown,2023-09-25,11:57,Windy
Bob,water_activities,Hiking ,Jimmyland,2023-10-11,02:30,Rainy
Mallory,extreme_activities,Walking the dog,East Zachary,2023-10-11,01:22,Cloudy
Alice,outdoor_activities,Fishing ,Joannachester,2023-10-08,18:06,Sunny
Mallory,extreme_activities,Skiing ,Joshuaport,2023-10-15,16:12,Snowy
Eve,home_activities,Chess ,Joseshire,2023-09-24,18:47,Snowy
John,physical_activities,Sauna  ,South Kevin,2023-09-21,08:18,Cloudy
Doe,night_activities,Walking the dog,Kingmouth,2023-09-30,18:09,Sunny
Jane,artistic_activities,Opera Attendance ,Perezport,2023-10-05,16:57,Snowy
